id,breed
000bec180eb18c7604dcecc8fe0dba07,boston_bull
003df8b8a8b05244b1d920bb6cf451f9,basenji
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound
00693b8bc2470375cc744a6391d397ec,maltese_dog
00792e341f3c6eb33663e415d0715370,african_hunting_dog
007ff9a78eba2aebb558afea3a51c469,lakeland_terrier
00bee065dcec471f26394855c5c2f3de,cairn
00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever
00ddcec076073cc96f82c27bf4548fbc,ibizan_hound
010d65bd29d246aea53d9849da142ccf,boston_bull
011761e3ae8ec5e188e8f0bcb59bb8b6,lakeland_terrier
013aed490e0e15a8989e12ae0d0ccfaa,border_terrier
013c43f40f0fb13fa25ac0c2a70fd48f,lakeland_terrier
013f8fdf6d638c7bb042f5f17e8a9fdc,tibetan_terrier
0140b05bfc2fd43f2819fab3d8566109,norwegian_elkhound
014c2b0cd8e3b517e649cecf8543b8fe,african_hunting_dog
0162b3e0144fb1d1ab82fbff3ace9938,shih-tzu
0192d7174233ebdb3d720000413829ac,australian_terrier
01b36cb1b80ab8c3a7d2b7128ad21bdc,samoyed
01de1f7b7b4465a6d130a56746af66a6,papillon
01e787576c003930f96c966f9c3e1d44,scottish_deerhound
01ee3c7ff9bcaba9874183135877670e,entlebucher
0207803a6ce1bfad98e7f095c965e44a,border_terrier
020ecfccf3c900b01ce831abbf20b485,saluki
021b5a49189665c0442c19b5b33e8cf1,entlebucher
022b34fd8734b39995a9f38a4f3e7b6b,maltese_dog
023e4e28415506e0deddcbd8f8bdab29,pug
02508e76981e1ba059d785704b4c480c,pug
0255a5bca3b9d91d4fdba8d7419b5e69,lakeland_terrier
0267c5f1acbab52ae4a7927e0398612b,airedale
0287b3374c33346e2b41f73af3a36261,leonberg
02a3edc1d6aae095185131fe185478e0,saluki
02a8ed20109bd62bd5894f276c08c8a2,leonberg
02c90d8109d9a48739b9887349d92b1f,airedale
02d54f0dfb40038765e838459ae8c956,bernese_mountain_dog
02eef0f899b81ddf27a42641bc8db9ee,entlebucher
0311a6a51a414ba91f3ad8055170baa1,lhasa
0325e6ba5b6afd3e0dd94c3a77b6de59,italian_greyhound
0326d40cc2b35521f1f3e73cabcf2a23,lakeland_terrier
035f28d8ad34afaf7c8d276d6674bf8f,shih-tzu
035fe39454c2ddb2f6a37146cacf0ac0,border_terrier
0360d42966d191a5db4c4bb2e8c66229,lhasa
0365fe4e3e13a885c6b02ebbbf2d9173,cairn
0379145880ad3978f9b80f0dc2c03fba,afghan_hound
039e61713398f27d027480e4bd0056d1,leonberg
03b9ab173e5862580909fee10f0ea46d,miniature_pinscher
03c81a2e78dc915bc515fcb8aafd2f6f,cairn
03dc61595ad9dbf49e3998cf586ca8cb,scottish_deerhound
03dd99e068f1f2283011cc305f5aaa9f,irish_wolfhound
03dfefdb2939388f7ca9578cb7c4a2b9,maltese_dog
03e1d2ee5fd90aef036c90a9e7f81177,bernese_mountain_dog
03f6435dc8a5e760d19e67831c6034fb,chow
041b3b8a40b587a486276ac15edd9eaf,samoyed
0428e1ae313156ec06dc42096cf1372c,norwegian_elkhound
044644ffbec4b6d402eb824532478811,african_hunting_dog
0457342c36e7e7d103fa4b286a1d62f8,english_foxhound
045ea2f41120606e2c5ae1315cebfb46,siberian_husky
046b28d8ac6f7beb3f63159ecaf4cbb6,papillon
047d9a7dc7205c76e5487d6fc5f4a666,ibizan_hound
0496d4170e295688e8d6929b239dd4fb,border_terrier
049a406bfac63012d757167c084ced1b,siberian_husky
04b5834c3a969c6308ce157c547bb313,basenji
04be608c9c005d9aa0224fe08554e4be,siberian_husky
04d2dc1f2804c748b1aa71954bb45d38,newfoundland
04d3a777baa532f7558a860393c4537f,newfoundland
04e3bb77c15c18fc1ac101d86d612f46,miniature_pinscher
04f9e2da4b6f5adb9b9d62eba66ba991,airedale
04fb4d719e9fe2b6ffe32d9ae7be8a22,bernese_mountain_dog
050073020e80e4935b53df8d786c8612,dandie_dinmont
05134ea3341a1f4f460168e68ec5765d,bernese_mountain_dog
053106ed091eac5e129225315ef6cfcb,maltese_dog
055429c6fb404af27ac52a08216e6cda,shih-tzu
055cfac66e5d67756ab05d02baeeb04c,great_pyrenees
0566a60d7504a6fad4161d0ef2765a34,beagle
0569f1d79637070f70ca4a62ec510792,saluki
056b535b441278e83839984f1b1da0a6,scottish_deerhound
05719b998e57a11b863a322ecc7652a5,scottish_deerhound
058d4bfce39c9f1157ca4c1b019bbf1a,scottish_deerhound
058ea5b467d08ed978658dc1ad85fb7d,maltese_dog
0593e37870ee77b0d34508e118bf6670,italian_greyhound
059a86d50634c78d5a18f918cb0b3f0d,afghan_hound
05a5e6f6b575688dc304ae72635db7b6,italian_greyhound
05c128c8e3ef0c2739f181f9c5677f56,australian_terrier
05cab78114abb08afcda78ee70222edd,english_foxhound
05d6e6de49a6999e56de23c4608af441,saluki
05e25c8ec67962c2ef4dd7b0f6aa3918,african_hunting_dog
05e93a5604440b065143c81be16cd395,whippet
05f59d40acf74affda3c8940ba192f42,leonberg
062131c6c38a1e485091c8c3329d9638,shih-tzu
06412667e714332186d0cf86375e98fb,border_terrier
06448bf4366760660b6a7611d93d7533,bernese_mountain_dog
065221667b1ed903e364b9063ee2195b,lakeland_terrier
06538c8ad646eb2ebbbbdda1c8174899,afghan_hound
065452ccfffdc6b6f60183bd6c88ba89,lakeland_terrier
06557d54077c5265ecdcd7273c9c38ca,shih-tzu
06ab2182c2a958a5f0de2035f39a0fa7,great_pyrenees
06c47d61293f2bb51a94040bb4b20799,italian_greyhound
06ce71ab05143b1fe45ba8eeba2e97e4,pug
06faa041b335551e3ccf3c239d006425,basenji
06fe22a92fa8dc8f90e7a0f118acad6f,bernese_mountain_dog
0700d58c82bafe9c4edc81f902178e76,airedale
07096719a671e1737b829bd1a88f1dbf,english_foxhound
071652f5f5d0bf00983c075e96ad725f,japanese_spaniel
073f0821a0842917e6e97ab322bd63f2,basenji
07466e87275ed10056a9d2cbb4c733d8,leonberg
0755a940eac9a9b8cf0328b4be062096,boston_bull
0769e276e8b9b992a3fcd6a10deee6a7,bernese_mountain_dog
07751d1687e0233ff638889d8b365709,whippet
0779e164a5bed1119e36e622107c6a77,pomeranian
079a7ad36b46704c28d88c4aa183c28e,english_foxhound
07a0214fa84969b5256bf7d20f1b3a9b,siberian_husky
07d1dd1576b5e95f448c1213b6812c40,italian_greyhound
07d6e906eb95f24c53eb92ecc2d47783,pug
07d7cfbdbd3682cae50902b53c798028,boston_bull
07ddc3c2188164b1e72ae6615a24419a,airedale
07e103146c1f4513647ddb9614210320,cairn
07e12e8064b6b17a94608ba5fd78a72e,pembroke
07ebe25829d387cef30160285d50e232,labrador_retriever
07eeb2ef42c6b260684e8cb8e8c4ba70,tibetan_terrier
08098e0a4074f62169ab53f7efe40da2,pomeranian
080ec59213ed7425b7f8c169955bb9d0,japanese_spaniel
0811e959c0fa3b1c7af6be4f645a9464,papillon
081ee1793b0e0027f8cccf9dc4513d53,miniature_pinscher
08571d6bb5ecf6c9b7a145dc24043088,dandie_dinmont
085b26edb3ee9688d41c4293aafe0162,irish_wolfhound
0861355ea326a82de3aab420d4276e5b,whippet
08644ddaf5a3ca7f08fcab7561ec4eea,bernese_mountain_dog
086e8ca78ec3303a8f06df003ecb6612,chow
08774c223487c1c880b447aae6a7e0b2,norwegian_elkhound
08782eb5ac167ca5f8feaccb519e9b4e,cairn
08829c00da02dea80eb491122989492f,afghan_hound
088be435c5245f79c448812169a30cb5,italian_greyhound
088cdda83ef0920d130398f7724b391f,shih-tzu
08946697b3e50e602d6bea765c8fb9f5,scottish_deerhound
08af52c888b0f5735c3ced810771601d,blenheim_spaniel
08e4013c0ddc710c57d1d188bf7c0cfe,blenheim_spaniel
08e5e75d29184a82a9dada752c9c4afb,chow
08ea34bfdc88f5b1e0eef0b76d832c8e,cairn
092220a7a8081144a7485efb6c087fe2,papillon
09288e5c39391b780412561163b10bf5,afghan_hound
093a146e173a3fd9ea650b87f08d6222,samoyed
0943d1d4677ab876b52468096baaa2ce,english_foxhound
0944fbca92fad9a38af10b3d1943cb54,miniature_pinscher
094b97e52d00895fbf6769724e1b0e7d,miniature_pinscher
0959e919604a931fc1ae379b7a75911a,irish_wolfhound
095d868f796f86c8258750365a04f2cd,japanese_spaniel
0974b614b86b829821067bd0b1808b8c,ibizan_hound
097ef8eca8fc340249b0bbc2b745972c,blenheim_spaniel
098333d51970304787c7061f3e683c5b,great_pyrenees
098dc5e173d21c229e6ee565d7666b10,whippet
0990fe6be15d9d556eac8712db3c8094,basenji
0995f642fe4baab3cb3534725dfedb75,australian_terrier
09beb7445a14486752bd25f69e952ebc,african_hunting_dog
09c62a1ff26b3e83a2d476c2add054b1,afghan_hound
09c986f317783fb5ae091b334e79ac5a,pomeranian
09d5ac8026b8a7f7d1acae244765fe24,airedale
09d7cc03f9e9730bda53b4a590351838,papillon
0a1b0b7df2918d543347050ad8b16051,newfoundland
0a3f1898556115d6d0931294876cd1d9,lhasa
0a4f1e17d720cdff35814651402b7cf4,afghan_hound
0a6706f7864eb8871913f0e4ba07a61e,samoyed
0a77d498ff491945347bb895d8ae4008,samoyed
0a896d2b3af617df543787b571e439d8,leonberg
0a9322a30aff755dac328022266e3740,australian_terrier
0a96f376d746b191fcc6e4812a603f7f,dandie_dinmont
0ab8d4c80ae4e6bbeacd66fb7e52b851,pomeranian
0abdda879bb143b19e3c480279541915,maltese_dog
0afc7d87053cb44a529c78c0fac99886,tibetan_terrier
0b102a6aa442aed98f137616e924e18e,basenji
0b1cdb2a36dd432fcc7567959cb23798,italian_greyhound
0b3d3120a62c2bc280f589d473041d06,boston_bull
0b5604e1cdfcb595ceb36424126a3e09,irish_wolfhound
0b57520c27ed32bc21e35c38cb5dd268,italian_greyhound
0b6837976df682360dc9ef25b81bc893,papillon
0b6da522f27c115716285a4f7187969e,basenji
0b72856996ad5826afff7195ff678589,scottish_deerhound
0b9be33db71b9237002df13d40b7282a,african_hunting_dog
0b9d58d8d2626f80bbc5cc3ccf7e8bad,beagle
0ba0f44a7f83539a71e4d74f549c8be6,bernese_mountain_dog
0ba12512fa4766cc4f8c288cb3b9b95f,border_terrier
